"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"1835","AleX_x_X_","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1836","elquintopoder","0.00029","0.00000","0.0065","0.166","0.0000","2.1e-05","3.1e-18","0.0e+00","1.3e-05","1.1e-19"
"1837","Beny_40","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1838","Ariella_Fuentes","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1839","cclocales","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1840","sebastiancaiceo","0.00000","0.00000","0.0033","0.166","0.0000","1.1e-05","7.0e-20","0.0e+00","6.3e-06","1.1e-19"
"1841","lalalistica","0.00000","0.00000","0.0033","0.582","0.0000","7.3e-04","7.0e-20","0.0e+00","5.8e-04","1.1e-19"
"1842","robertoasenciof","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","8.9e-20","1.1e-19"
"1843","carloscarrilloo","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1844","mgsignorelli","0.00176","0.00000","0.0229","0.083","0.0000","3.2e-02","1.7e-17","0.0e+00","2.2e-02","1.1e-19"
"1845","Kocolina","0.00000","0.00000","0.0033","0.083","0.0000","4.5e-03","7.0e-20","0.0e+00","3.1e-03","1.1e-19"
"1846","SCagnani2012vem","0.00000","0.00000","0.0033","0.083","0.0000","1.0e-05","7.0e-20","0.0e+00","6.4e-06","1.1e-19"
"1847","estuche","0.00205","0.00000","0.0261","0.083","0.0000","5.1e-06","2.1e-17","0.0e+00","3.0e-06","1.1e-19"
"1848","malditointernet","0.00000","0.00000","0.0033","0.166","0.0000","4.8e-04","7.0e-20","0.0e+00","3.5e-04","1.1e-19"
"1849","RominaJorquera","0.00000","0.00000","0.0033","0.083","0.0000","0.0e+00","7.0e-20","0.0e+00","1.2e-19","1.1e-19"
"1850","felipeolave","0.00000","0.00000","0.0033","0.083","0.0000","1.1e-05","7.0e-20","0.0e+00","7.2e-06","1.1e-19"
"1851","sigridps","0.00000","0.00000","0.0033","0.083","0.0000","1.0e-05","7.0e-20","0.0e+00","6.4e-06","1.1e-19"
"1852","bolivaron","0.00000","0.00000","0.0033","0.083","0.0000","1.0e-05","7.0e-20","0.0e+00","6.4e-06","1.1e-19"
