"","username","degree","indegree","outdegree","closeness","betweenness","hub","authority","clusterCoefficient","egenvector.centrality","page.rank"
"481","saimoncastillo",0.00234810683886117,0,0.0294117647058824,0.582270299965584,0,0.0379437227277441,2.29330953361033e-17,0.0277777777777778,0.028161788247783,1.06425143268007e-19
"482","barQuittO",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"483","finada",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"484","sokio",0.000587026709715292,0,0.00980392156862745,0.0830362267887068,0,0.0135508080736265,5.48705962029467e-18,0,0.0093379546148612,1.06425143268007e-19
"485","Ich_Pao",0.00146756677428823,0,0.0196078431372549,0.0830362267887068,0,0.027101616147253,1.39286898053634e-17,0,0.0186759092297224,1.06425143268007e-19
"486","fuerzachile_",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"487","Ninfandy",0.00440270032286469,0,0.0522875816993464,0.582157018107106,0,0.0684843631676549,4.43185584716108e-17,0.00833333333333333,0.0472728702386208,1.06425143268007e-19
"488","andrescl",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"489","barner_",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"490","CiccabaVirgata",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
"491","rodrigogana",0.000293513354857646,0,0.0065359477124183,0.0830362267887068,0,0.00903387204908432,2.95457056477405e-18,0,0.00622530307657413,1.06425143268007e-19
"492","Saladehistoria",0.000587026709715292,0,0.00980392156862745,0.415689250155792,0,0.00453573466715218,5.48705962029467e-18,0.333333333333333,0.00315677661989307,1.06425143268007e-19
"493","Ichitta",0.000293513354857646,0,0.0065359477124183,0.166128864057522,0,0.00451801623927953,2.95457056477405e-18,0,0.00311338847090101,1.06425143268007e-19
"494","fanny0",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"495","_felipehp",0,0,0.00326797385620915,0.0830362267887068,0,0.00451693602454216,0,0,0.00311265153828707,1.06425143268007e-19
"496","waringas",0.00205459348400352,0,0.0261437908496732,0.0830362267887068,0,0.0361354881963373,2.06819939534184e-17,0,0.0249012123062965,1.06425143268007e-19
