username;leader;tipo
kimilsun;0;0
caminantee;0;0
LaPelao;0;0
franciscojms;0;0
profecristy;0;0
dsalazar23491;0;0
PaulinaHudson;0;0
_nayi;0;0
u_cursos;0;0
dgzara;0;0
eltitoramirez;0;0
fhuertafdez;0;0
antoparedes;0;0
beilinsonsolari;0;0
ccoocchhaa;0;0
darkjupa;0;0
KmiloSandoval;0;0
cgtmanresa;0;0
elviejodelsaco;0;0
Gabriehuidobror;0;0
com_fech;0;0
cpulgarpinaud;0;0
ffuenza;0;0
camiloballo;0;0
amparorv;0;0
cad_uc;0;0
sibekay;0;0
Croquevielle;0;0
Gloria_Diaz;0;0
PatricioMery;0;0
cepamoya;0;0
alkkano;0;0
Natty_fv;0;0
emilioreyess;0;0
mmorilla;0;0
nestornudo;0;0
Aguilatop;0;0
pirata52;0;0
mjgonzap;0;0
Encontrastecl;0;0
valegonzalesm;0;0
ComentaUrbano;0;0
Conni90;0;0
ecoschile;0;0
karinundurraga;0;0
hfariasaroca;0;0
cepsUC;0;0
mreneesv;0;0
BredeBS;0;0
marijenia;0;0
csierralta;0;0
pablorebolledo;0;0
franhornig;0;0
guillesotov;0;0
BieberFamous;0;0
Abel_ORian;0;0
jmmoller;0;0
fbarrall;0;0
moisessanchezr;0;0
josecoronado_;0;0
conestobasta;0;0
mariana_gat;0;0
nicoleprimavera;0;0
nade_lestrange;0;0
Alboadicto;0;0
trinidadvidal;0;0
chuga;0;0
felixfarfan;0;0
jpfdez;0;0
agustinvalencia;0;0
fabarrientos;0;0
pancho_leyton;0;0
CrisNavarroM;0;0
vifarias;0;0
Cepeuc;0;0
LeoBarrosP;0;0
mchaparro;0;0
_meza;0;0
VanessaHdzs;0;0
sebasriveros;0;0
TechuLarraechea;0;0
jeremyedo;0;0
gonzalezcarcey;0;0
LillianaTatu138;0;0
javierazuniga;0;0
javijadue;0;0
CAMPILLAY_DIAZ;0;0
carlosalvear;0;0
mariogiannetti;0;0
chasscon;0;0
FEULS;0;0
SalvadorMunozk;0;0
manuel_97_;0;0
israelcampusano;0;0
fer_gyllenhaal;0;0
DiegoVergaraQ;0;0
memecz;0;0
cako_bianchi;0;0
_Mayito;0;0
patoaeschlimann;0;0
XcinOH;0;0
davidcordovam;0;0
DaniaLazo;0;0
leo_escobar;0;0
chechobarraza;0;0
fxRodriiGo;0;0
joseramon71;0;0
Fernan2Andres;0;0
StarrOcean;0;0
DavidEVarelaG;0;0
NicoCifuentes;0;0
lordyoyi;0;0
rcorne;0;0
NicoFigueroa;0;0
jppalmab;0;0
Tlinm;0;0
Revo21;0;0
danireca;0;0
macamorbelli;0;0
Agux_Love;0;0
EliSA_Torr3s;0;0
wfsanhueza;0;0
raulsunicog;0;0
HalunkeValnor;0;0
dzv88;0;0
Shaggy53;0;0
mariosillard;0;0
felipevasquezc;0;0
dani_jimenez;0;0
TamaraQuijada;0;0
nataliariffo;0;0
diesmori;0;0
ThePatagon;0;0
FranLizama;0;0
giovannaroa;0;0
rahumadas;0;0
KuraRacista;0;0
plherrera;0;0
CEIC__2011;0;0
Caccuc;0;0
eplazavalpo;0;0
taniabusch;0;0
dalenando;0;0
mjesusleon;0;0
ElPatologico;0;0
Davidbicharrako;0;0
charliekudo;0;0
entel_ayuda;0;0
jgarciaueschile;0;0
Smoken_Flames;0;0
CACCUC;0;0
arebolledosmith;0;0
panchabozzo;0;0
fcofariasm;0;0
ren_reis;0;0
Liberatelee;0;0
alexisalvear;0;0
macapuga;0;0
kawesqar_;0;0
ValCollantes;0;0
ClaudioSabinero;0;0
Cinthya_Paz;0;0
VicenteGuzamanG;0;0
donmatas;0;0
